Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Exclude NA
Homefront: The Revolution,PS4,2016,Shooter,0.08,0.22,0.03,0.05,0.38,48,43,3.9,216.0,M,0.3
Mirrors Edge Catalyst,PS4,2016,Platform,0.12,0.17,0.03,0.06,0.37,69,50,4.7,589.0,T,0.25
Battleborn,PS4,2016,Shooter,0.19,0.09,0.02,0.06,0.36,68,55,6.8,405.0,T,0.16999999999999998
PlayStation VR Worlds,PS4,2016,Misc,0.09,0.15,0.02,0.04,0.3,59,48,7.0,78.0,M,0.21
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,0.09,0.04,0.08,0.03,0.23,87,49,8.2,181.0,T,0.14
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,0.07,0.03,0.1,0.02,0.23,69,33,7.7,55.0,T,0.16
ReCore,XOne,2016,Action,0.12,0.05,0.01,0.02,0.2,63,75,6.6,457.0,T,0.08000000000000002
The King of Fighters XIV,PS4,2016,Fighting,0.09,0.02,0.05,0.02,0.18,79,54,8.5,212.0,T,0.09
Dead Island Definitive Collection,PS4,2016,Action,0.05,0.07,0.02,0.02,0.16,63,32,6.4,46.0,M,0.11
RIGS: Mechanized Combat League,PS4,2016,Action,0.05,0.06,0.01,0.02,0.14,78,43,8.0,79.0,T,0.09000000000000001
Fallout 4,PS4,2015,Role-Playing,2.58,3.42,0.24,1.17,7.41,87,58,6.5,4258.0,M,4.83
Uncharted: The Nathan Drake Collection,PS4,2015,Action,2.13,1.79,0.09,0.79,4.8,86,78,8.1,1289.0,T,2.67
Halo 5: Guardians,XOne,2015,Shooter,2.86,1.29,0.03,0.42,4.61,84,101,6.4,2455.0,T,1.7500000000000004
Fallout 4,XOne,2015,Role-Playing,2.59,1.37,0.01,0.4,4.37,88,39,6.2,1759.0,M,1.7800000000000002
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,1.07,2.22,0.23,0.62,4.14,92,79,9.2,10270.0,M,3.0699999999999994
Batman: Arkham Knight,PS4,2015,Action,1.59,1.73,0.11,0.66,4.09,87,89,7.6,2715.0,M,2.5
Assassins Creed Syndicate,PS4,2015,Action,0.84,2.01,0.07,0.53,3.44,76,86,6.8,1341.0,M,2.6
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,1.1,1.36,0.49,0.48,3.43,93,86,8.2,3987.0,M,2.33
Bloodborne,PS4,2015,Action,1.08,0.84,0.26,0.39,2.58,92,100,8.6,6432.0,M,1.5
Tom Clancys Rainbow Six: Siege,PS4,2015,Shooter,0.58,1.21,0.15,0.34,2.28,73,40,7.3,490.0,M,1.6999999999999997
Dying Light,PS4,2015,Action,1.0,0.68,0.12,0.35,2.14,74,58,7.9,1300.0,M,1.1400000000000001
Battlefield: Hardline,PS4,2015,Shooter,0.71,0.94,0.14,0.32,2.11,73,46,5.0,850.0,M,1.4
Destiny: The Taken King,PS4,2015,Shooter,0.78,0.79,0.05,0.31,1.94,86,81,6.0,1083.0,T,1.16
Just Cause 3,PS4,2015,Action,0.5,1.03,0.08,0.29,1.9,73,42,6.5,413.0,M,1.4
The Order: 1886,PS4,2015,Shooter,0.62,0.78,0.07,0.27,1.75,63,94,6.6,3191.0,M,1.13
Until Dawn,PS4,2015,Adventure,0.48,0.91,0.05,0.26,1.71,79,103,8.2,2197.0,M,1.23
Rise of the Tomb Raider,XOne,2015,Adventure,0.56,0.75,0.02,0.11,1.44,86,102,8.0,1297.0,M,0.8799999999999999
Dragon Ball: XenoVerse,PS4,2015,Fighting,0.32,0.53,0.13,0.16,1.14,69,50,7.7,600.0,T,0.8199999999999998
Evolve,PS4,2015,Shooter,0.37,0.41,0.05,0.15,0.98,76,46,4.3,897.0,M,0.61
Borderlands: The Handsome Collection,PS4,2015,Shooter,0.42,0.33,0.03,0.15,0.92,82,49,7.8,347.0,M,0.5
Xenoblade Chronicles X,WiiU,2015,Role-Playing,0.38,0.28,0.15,0.06,0.86,84,87,8.9,1562.0,T,0.48
Rare Replay,XOne,2015,Misc,0.52,0.22,0.01,0.08,0.83,84,75,7.7,330.0,M,0.30999999999999994
Bravely Second: End Layer,3DS,2015,Role-Playing,0.19,0.11,0.19,0.03,0.51,81,70,7.4,108.0,T,0.32
One Piece: Pirate Warriors 3,PS4,2015,Action,0.1,0.22,0.11,0.06,0.48,74,34,7.4,118.0,T,0.38
Tales of Zestiria,PS4,2015,Role-Playing,0.17,0.15,0.03,0.07,0.42,72,59,6.8,316.0,T,0.24999999999999997
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,0.12,0.03,0.16,0.02,0.34,61,32,6.6,33.0,T,0.22000000000000003
Persona 4: Dancing All Night,PSV,2015,Misc,0.1,0.04,0.15,0.05,0.34,76,51,8.6,84.0,T,0.24000000000000002
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,0.12,0.08,0.07,0.04,0.31,80,43,8.1,175.0,T,0.19
Stella Glow,3DS,2015,Role-Playing,0.17,0.01,0.05,0.02,0.25,79,32,8.7,82.0,T,0.07999999999999999
Code Name: S.T.E.A.M.,3DS,2015,Strategy,0.14,0.05,0.01,0.02,0.21,69,69,7.8,126.0,T,0.06999999999999998
Toukiden Kiwami,PS4,2015,Action,0.06,0.07,0.02,0.03,0.18,74,35,7.6,74.0,T,0.12
Bladestorm: Nightmare,PS4,2015,Action,0.08,0.04,0.03,0.03,0.18,58,33,6.5,21.0,T,0.09999999999999999
Gravity Rush Remastered,PS4,2015,Action,0.02,0.05,0.04,0.01,0.13,80,62,8.2,164.0,T,0.11
Grand Theft Auto V,PS4,2014,Action,4.12,6.77,0.39,2.08,13.36,97,66,8.3,2955.0,M,9.239999999999998
Call of Duty: Advanced Warfare,PS4,2014,Shooter,2.83,3.48,0.14,1.24,7.68,83,39,5.7,1446.0,M,4.85
Destiny,PS4,2014,Shooter,2.5,2.07,0.16,0.93,5.66,76,95,6.1,5389.0,T,3.16
Call of Duty: Advanced Warfare,XOne,2014,Shooter,3.24,1.55,0.01,0.48,5.28,81,53,5.4,900.0,M,2.04
Watch Dogs,PS4,2014,Action,1.4,1.93,0.11,0.65,4.09,80,80,6.3,3018.0,M,2.69
Far Cry 4,PS4,2014,Shooter,1.15,2.18,0.1,0.63,4.06,85,83,7.7,1663.0,M,2.9099999999999997
Assassins Creed: Unity,PS4,2014,Action,1.2,2.09,0.08,0.63,3.99,70,40,4.9,2069.0,M,2.79
Halo: The Master Chief Collection,XOne,2014,Shooter,1.98,1.0,0.03,0.3,3.31,85,69,7.2,1272.0,M,1.33
Middle-Earth: Shadow of Mordor,PS4,2014,Action,1.02,1.43,0.05,0.47,2.97,84,85,8.1,1907.0,M,1.9500000000000002
Titanfall,XOne,2014,Shooter,1.85,0.8,0.04,0.27,2.96,86,68,6.4,2661.0,M,1.1099999999999999
inFAMOUS: Second Son,PS4,2014,Action,1.29,0.98,0.07,0.46,2.8,80,90,7.9,2954.0,T,1.5099999999999998
Dragon Age: Inquisition,PS4,2014,Role-Playing,0.73,0.88,0.08,0.32,2.01,89,43,7.4,2005.0,M,1.2799999999999998
The Evil Within,PS4,2014,Action,0.56,0.86,0.11,0.27,1.8,75,65,7.3,1228.0,M,1.24
The Crew,PS4,2014,Racing,0.37,1.08,0.03,0.27,1.75,61,60,5.4,576.0,T,1.38
Wolfenstein: The New Order,PS4,2014,Shooter,0.48,0.8,0.03,0.24,1.55,79,73,8.1,1124.0,M,1.07
Assassins Creed: Rogue,PS3,2014,Action,0.46,0.57,0.06,0.2,1.29,72,53,7.5,294.0,M,0.8300000000000001
Dark Souls II,PS3,2014,Role-Playing,0.4,0.33,0.4,0.15,1.28,91,69,8.1,1112.0,T,0.88
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,0.45,0.47,0.17,0.18,1.27,75,70,6.2,1318.0,M,0.8200000000000001
Hyrule Warriors,WiiU,2014,Action,0.59,0.42,0.13,0.1,1.23,76,81,8.3,664.0,T,0.64
Alien: Isolation,PS4,2014,Shooter,0.35,0.57,0.04,0.18,1.14,79,50,8.1,800.0,M,0.7899999999999999
EA Sports UFC,PS4,2014,Sports,0.46,0.41,0.01,0.18,1.05,70,57,6.1,280.0,T,0.5900000000000001
Bayonetta 2,WiiU,2014,Action,0.34,0.28,0.1,0.06,0.78,91,80,8.3,1226.0,M,0.44
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,0.34,0.07,0.27,0.05,0.73,83,56,8.1,169.0,M,0.38999999999999996
Freedom Wars,PSV,2014,Role-Playing,0.15,0.1,0.32,0.08,0.65,73,39,8.3,266.0,T,0.5
Borderlands 2,PSV,2014,Shooter,0.33,0.16,0.01,0.15,0.65,64,31,7.6,358.0,M,0.32
Lords of the Fallen,PS4,2014,Role-Playing,0.18,0.24,0.02,0.08,0.52,68,45,6.5,436.0,M,0.34
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,0.13,0.08,0.15,0.02,0.37,83,52,8.3,67.0,T,0.24
Murdered: Soul Suspect,PS4,2014,Action,0.09,0.16,0.02,0.05,0.32,59,60,6.9,317.0,M,0.23
Dragon Ball Z: Battle of Z,PS3,2014,Fighting,0.1,0.1,0.06,0.04,0.31,54,32,5.3,103.0,T,0.21
Onechanbara Z2: Chaos,PS4,2014,Action,0.14,0.03,0.04,0.04,0.25,57,40,6.5,72.0,M,0.10999999999999999
Samurai Warriors 4,PS4,2014,Action,0.08,0.07,0.06,0.03,0.24,76,31,8.1,76.0,T,0.15999999999999998
Castlevania: Lords of Shadow 2,PS3,2014,Action,0.03,0.12,0.02,0.03,0.2,63,55,7.7,530.0,M,0.17
Natural Doctrine,PS4,2014,Role-Playing,0.05,0.02,0.02,0.01,0.1,53,31,6.0,79.0,M,0.05
Grand Theft Auto V,X360,2013,Action,9.66,5.17,0.06,1.41,16.3,97,58,8.1,3722.0,M,6.640000000000001
The Last of Us,PS3,2013,Action,2.41,2.19,0.29,0.99,5.89,95,98,9.1,8039.0,M,3.4799999999999995
Call of Duty: Ghosts,PS4,2013,Shooter,1.78,1.43,0.05,0.57,3.83,78,49,3.7,1570.0,M,2.05
Assassins Creed IV: Black Flag,PS3,2013,Action,1.33,1.69,0.13,0.57,3.72,88,36,8.1,846.0,M,2.39
Assassins Creed IV: Black Flag,X360,2013,Action,1.9,1.11,0.01,0.29,3.31,86,35,7.9,706.0,M,1.4100000000000001
Killzone: Shadow Fall,PS4,2013,Shooter,0.89,1.34,0.08,0.39,2.69,73,88,6.8,2113.0,M,1.7999999999999998
Batman: Arkham Origins,PS3,2013,Action,1.08,0.8,0.04,0.38,2.3,76,46,7.7,671.0,T,1.2199999999999998
God of War: Ascension,PS3,2013,Action,1.23,0.63,0.04,0.35,2.25,80,89,7.5,916.0,M,1.02
BioShock Infinite,X360,2013,Shooter,1.22,0.54,0.02,0.16,1.93,93,33,8.5,1652.0,M,0.71
Diablo III,PS3,2013,Role-Playing,0.72,0.75,0.16,0.29,1.91,86,43,6.4,557.0,M,1.19
Saints Row IV,X360,2013,Action,1.01,0.5,0.01,0.13,1.66,81,42,6.5,326.0,M,0.6499999999999999
Beyond: Two Souls,PS3,2013,Adventure,0.52,0.8,0.06,0.26,1.63,70,98,8.1,2659.0,M,1.1099999999999999
Dead Rising 3,XOne,2013,Action,1.06,0.35,0.01,0.15,1.57,78,69,6.8,910.0,M,0.51
Gears of War: Judgment,X360,2013,Shooter,0.92,0.5,0.03,0.12,1.57,79,81,5.5,784.0,M,0.65
Metal Gear Rising: Revengeance,PS3,2013,Action,0.46,0.37,0.44,0.16,1.42,80,61,7.9,752.0,M,0.96
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,0.43,0.36,0.32,0.16,1.27,85,50,8.5,335.0,T,0.8400000000000001
Injustice: Gods Among Us,PS3,2013,Fighting,0.49,0.5,0.01,0.2,1.19,78,37,7.9,283.0,T,0.7
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,0.31,0.2,0.45,0.11,1.07,66,62,5.9,556.0,T,0.76
Tom Clancys Splinter Cell: Blacklist,X360,2013,Action,0.57,0.32,0.01,0.08,0.98,82,58,7.5,384.0,M,0.41000000000000003
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,0.32,0.32,0.15,0.15,0.93,77,32,7.9,189.0,T,0.6100000000000001
Crysis 3,X360,2013,Shooter,0.51,0.31,0.01,0.08,0.9,76,45,6.7,345.0,M,0.39
Killzone: Mercenary,PSV,2013,Shooter,0.2,0.4,0.04,0.17,0.82,78,86,8.8,517.0,M,0.6199999999999999
DmC: Devil May Cry,PS3,2013,Action,0.24,0.26,0.19,0.1,0.79,85,40,5.3,1475.0,M,0.55
Dead Island: Riptide,X360,2013,Action,0.44,0.26,0.01,0.07,0.78,57,43,6.3,193.0,M,0.34
Dragons Crown,PS3,2013,Role-Playing,0.25,0.07,0.17,0.05,0.54,82,62,8.3,289.0,T,0.29000000000000004
Soul Sacrifice,PSV,2013,Role-Playing,0.15,0.08,0.22,0.06,0.51,77,71,8.2,298.0,M,0.36
DmC: Devil May Cry,X360,2013,Action,0.27,0.12,0.01,0.04,0.44,86,65,5.1,1440.0,M,0.16999999999999998
The Wonderful 101,WiiU,2013,Action,0.19,0.1,0.08,0.03,0.4,78,75,8.5,496.0,T,0.21000000000000002
Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,0.09,0.05,0.15,0.04,0.33,80,55,8.1,241.0,M,0.24000000000000002
Killer is Dead,PS3,2013,Action,0.12,0.03,0.05,0.03,0.23,64,39,7.9,216.0,M,0.11000000000000001
The Witch and the Hundred Knight,PS3,2013,Role-Playing,0.07,0.02,0.1,0.02,0.21,53,44,7.5,80.0,T,0.13999999999999999
Fairy Fencer F,PS3,2013,Role-Playing,0.05,0.03,0.09,0.02,0.19,65,31,7.4,50.0,T,0.14
Demon Gaze,PSV,2013,Role-Playing,0.04,0.02,0.08,0.02,0.17,70,38,7.4,129.0,T,0.13
Killer is Dead,X360,2013,Action,0.08,0.02,0.01,0.01,0.12,64,38,7.2,144.0,M,0.039999999999999994
Lost Planet 3,X360,2013,Shooter,0.07,0.03,0.01,0.01,0.12,58,43,5.8,143.0,T,0.04999999999999999
Call of Duty: Black Ops II,X360,2012,Shooter,8.25,4.26,0.07,1.12,13.69,83,73,4.8,2261.0,M,5.4399999999999995
Halo 4,X360,2012,Shooter,6.68,2.3,0.04,0.74,9.77,87,87,7.0,3273.0,M,3.09
Assassins Creed III,PS3,2012,Action,2.65,2.52,0.16,1.12,6.46,85,41,6.9,1314.0,M,3.81
Assassins Creed III,X360,2012,Action,3.13,1.69,0.03,0.44,5.29,84,61,6.8,1204.0,M,2.16
Far Cry 3,PS3,2012,Shooter,0.88,1.7,0.1,0.67,3.35,90,32,8.5,1046.0,M,2.47
Resident Evil 6,PS3,2012,Shooter,0.88,0.94,0.88,0.4,3.1,74,34,5.4,1309.0,M,2.22
Borderlands 2,X360,2012,Shooter,1.89,0.88,0.04,0.25,3.05,89,59,8.2,895.0,M,1.16
Mass Effect 3,X360,2012,Role-Playing,1.94,0.84,0.03,0.24,3.04,93,74,5.8,3733.0,M,1.1
Far Cry 3,X360,2012,Shooter,1.38,1.32,0.02,0.28,3.01,91,39,8.6,1259.0,M,1.63
Fire Emblem: Awakening,3DS,2012,Role-Playing,0.9,0.45,0.54,0.13,2.03,92,72,9.1,1139.0,T,1.13
Resident Evil 6,X360,2012,Shooter,1.12,0.6,0.07,0.16,1.96,67,71,5.0,1409.0,M,0.8399999999999999
Forza Horizon,X360,2012,Racing,0.82,0.93,0.04,0.18,1.96,85,83,8.4,434.0,T,1.1400000000000001
Max Payne 3,PS3,2012,Shooter,0.59,0.89,0.06,0.3,1.85,87,31,7.8,792.0,M,1.2600000000000002
Kinect Star Wars,X360,2012,Action,1.05,0.52,0.03,0.14,1.74,55,61,3.4,144.0,T,0.69
Dragons Dogma,PS3,2012,Role-Playing,0.41,0.44,0.72,0.17,1.74,78,38,8.3,445.0,M,1.33
Hitman: Absolution,X360,2012,Action,0.68,0.88,0.01,0.17,1.73,79,51,7.1,456.0,M,1.0499999999999998
Dishonored,X360,2012,Action,1.06,0.5,0.01,0.14,1.71,88,56,7.9,820.0,M,0.6499999999999999
Max Payne 3,X360,2012,Shooter,0.86,0.62,0.01,0.13,1.62,86,80,7.8,874.0,M,0.7600000000000001
Need for Speed: Most Wanted,X360,2012,Racing,0.62,0.78,0.01,0.15,1.56,83,54,8.4,135.0,T,0.9400000000000001
Call of Duty Black Ops: Declassified,PSV,2012,Action,0.72,0.47,0.07,0.28,1.54,33,58,4.8,479.0,M,0.8200000000000001
Dishonored,PS3,2012,Action,0.72,0.52,0.04,0.25,1.53,89,35,7.9,787.0,M,0.81
Tom Clancys Ghost Recon: Future Soldier,X360,2012,Shooter,0.94,0.4,0.02,0.12,1.47,79,75,7.2,335.0,M,0.53
Assassins Creed III: Liberation,PSV,2012,Action,0.53,0.49,0.06,0.25,1.33,70,71,7.2,319.0,M,0.8
Resident Evil: Operation Raccoon City,PS3,2012,Action,0.48,0.24,0.36,0.1,1.17,52,36,4.9,222.0,M,0.69
Medal of Honor: Warfighter,X360,2012,Action,0.59,0.45,0.01,0.1,1.16,53,43,5.4,438.0,M,0.57
Persona 4: Golden,PSV,2012,Role-Playing,0.37,0.24,0.38,0.16,1.14,93,61,9.2,1240.0,M,0.7699999999999999
Sleeping Dogs,PS3,2012,Action,0.31,0.49,0.05,0.19,1.04,83,40,7.7,646.0,M,0.73
ZombiU,WiiU,2012,Action,0.52,0.36,0.05,0.08,1.01,77,70,7.7,760.0,M,0.49
PlayStation All-Stars Battle Royale,PS3,2012,Action,0.5,0.27,0.04,0.15,0.95,74,69,7.3,542.0,T,0.44999999999999996
The Witcher 2: Assassins of Kings,X360,2012,Action,0.48,0.32,0.02,0.08,0.9,88,82,8.3,818.0,M,0.42000000000000004
Resident Evil: Revelations,3DS,2012,Action,0.3,0.22,0.3,0.05,0.88,82,78,8.5,400.0,M,0.5800000000000001
Sleeping Dogs,X360,2012,Action,0.38,0.4,0.01,0.08,0.87,80,47,7.9,469.0,M,0.49
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,0.55,0.24,0.01,0.07,0.87,80,71,7.7,447.0,M,0.31999999999999995
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,0.37,0.29,0.09,0.11,0.85,81,34,7.6,376.0,M,0.48
Tekken Tag Tournament 2,PS3,2012,Fighting,0.28,0.31,0.13,0.13,0.85,82,50,8.2,195.0,T,0.57
Darksiders II,PS3,2012,Action,0.35,0.35,0.01,0.14,0.85,84,39,7.1,424.0,M,0.5
Sniper Elite V2,X360,2012,Shooter,0.46,0.28,0.02,0.07,0.84,67,37,6.8,131.0,M,0.37999999999999995
Street Fighter X Tekken,PS3,2012,Fighting,0.42,0.21,0.1,0.09,0.83,84,51,5.3,191.0,T,0.41
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Puzzle,0.2,0.26,0.3,0.04,0.8,79,69,8.5,100.0,T,0.6000000000000001
Dragons Dogma,X360,2012,Role-Playing,0.42,0.23,0.07,0.06,0.79,75,59,7.8,321.0,M,0.37000000000000005
Resident Evil: Operation Raccoon City,X360,2012,Action,0.55,0.14,0.03,0.06,0.77,52,56,4.9,331.0,M,0.21999999999999997
SoulCalibur V,PS3,2012,Fighting,0.35,0.23,0.07,0.09,0.75,81,53,6.7,152.0,T,0.4
Persona 4: Arena,PS3,2012,Fighting,0.31,0.11,0.24,0.08,0.73,86,47,7.7,180.0,T,0.42
Lollipop Chainsaw,PS3,2012,Action,0.27,0.2,0.11,0.08,0.66,67,37,7.1,199.0,M,0.39
Dead or Alive 5,PS3,2012,Fighting,0.23,0.14,0.2,0.07,0.64,74,34,7.7,109.0,M,0.41000000000000003
SoulCalibur V,X360,2012,Fighting,0.39,0.13,0.02,0.04,0.58,77,56,6.3,125.0,T,0.18999999999999995
Gravity Rush,PSV,2012,Action,0.21,0.17,0.09,0.08,0.56,83,73,8.5,635.0,T,0.3500000000000001
Unit 13,PSV,2012,Shooter,0.25,0.13,0.04,0.07,0.5,71,60,7.5,169.0,T,0.25
Lollipop Chainsaw,X360,2012,Action,0.31,0.12,0.02,0.04,0.48,70,64,7.0,260.0,M,0.16999999999999998
Street Fighter X Tekken,X360,2012,Fighting,0.32,0.1,0.03,0.04,0.48,83,45,4.4,177.0,T,0.15999999999999998
Silent Hill: Downpour,PS3,2012,Action,0.21,0.15,0.04,0.06,0.46,64,41,6.9,263.0,M,0.25
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Fighting,0.26,0.14,0.01,0.04,0.44,74,35,7.2,48.0,T,0.18
Devil May Cry HD Collection,X360,2012,Action,0.28,0.11,0.01,0.03,0.44,77,32,8.4,93.0,M,0.15999999999999998
Ninja Gaiden 3,PS3,2012,Action,0.19,0.09,0.11,0.05,0.43,58,43,5.0,152.0,M,0.24
Resistance: Burning Skies,PSV,2012,Shooter,0.18,0.15,0.02,0.06,0.41,60,63,6.8,245.0,M,0.22999999999999998
Asuras Wrath,PS3,2012,Action,0.18,0.12,0.06,0.05,0.41,71,39,7.4,171.0,T,0.22999999999999998
Project X Zone,3DS,2012,Role-Playing,0.18,0.04,0.15,0.02,0.39,70,53,7.3,146.0,T,0.21000000000000002
Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,0.15,0.11,0.1,0.02,0.38,78,46,7.8,167.0,M,0.23
Tekken Tag Tournament 2,X360,2012,Fighting,0.19,0.11,0.01,0.03,0.34,83,35,7.4,91.0,T,0.15000000000000002
Dead or Alive 5,X360,2012,Fighting,0.19,0.08,0.03,0.03,0.33,76,39,7.9,95.0,M,0.14
Binary Domain,PS3,2012,Action,0.09,0.07,0.14,0.03,0.33,72,33,8.2,180.0,M,0.24000000000000002
Silent Hill HD Collection,PS3,2012,Action,0.15,0.1,0.03,0.04,0.32,70,33,4.8,136.0,M,0.17
Starhawk,PS3,2012,Action,0.18,0.05,0.03,0.03,0.29,77,71,7.8,188.0,T,0.10999999999999999
Ninja Gaiden 3,X360,2012,Action,0.16,0.05,0.03,0.02,0.25,58,39,4.4,136.0,M,0.09
Asuras Wrath,X360,2012,Action,0.15,0.06,0.01,0.02,0.25,71,54,6.6,131.0,T,0.1
Ys: Memories of Celceta,PSV,2012,Action,0.1,0.01,0.1,0.04,0.24,82,56,8.8,240.0,T,0.13999999999999999
Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,0.13,0.02,0.06,0.01,0.23,54,35,6.1,28.0,T,0.1
Armored Core V,X360,2012,Simulation,0.13,0.03,0.04,0.01,0.21,68,37,7.2,37.0,T,0.07999999999999999
Anarchy Reigns,PS3,2012,Action,0.1,0.03,0.06,0.02,0.2,71,35,8.2,106.0,M,0.1
Tekken 3D: Prime Edition,3DS,2012,Fighting,0.06,0.07,0.05,0.01,0.2,64,42,5.9,39.0,T,0.14
Binary Domain,X360,2012,Action,0.09,0.06,0.02,0.02,0.19,74,43,8.1,186.0,M,0.1
Anarchy Reigns,X360,2012,Action,0.12,0.02,0.02,0.01,0.17,73,38,7.9,105.0,M,0.05000000000000002
Time and Eternity,PS3,2012,Role-Playing,0.06,0.03,0.06,0.02,0.17,42,40,5.0,78.0,T,0.11000000000000001
Steel Battalion: Heavy Armor,X360,2012,Misc,0.08,0.02,0.02,0.01,0.13,38,58,2.4,92.0,M,0.05
NeverDead,PS3,2012,Shooter,0.06,0.04,0.01,0.02,0.12,50,32,4.7,47.0,M,0.06
Call of Duty: Modern Warfare 3,X360,2011,Shooter,9.06,4.26,0.13,1.33,14.77,88,81,3.4,8715.0,M,5.709999999999999
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5237.0,M,7.78
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,5.08,2.8,0.1,0.86,8.84,96,89,8.4,3602.0,M,3.76
Battlefield 3,X360,2011,Shooter,4.47,2.11,0.06,0.69,7.33,84,57,7.4,2144.0,M,2.8600000000000003
Battlefield 3,PS3,2011,Shooter,2.86,2.89,0.35,1.08,7.18,85,38,7.5,1762.0,M,4.32
Uncharted 3: Drakes Deception,PS3,2011,Action,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3732.0,T,3.97
Gears of War 3,X360,2011,Shooter,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1510.0,M,2.16
Batman: Arkham City,PS3,2011,Action,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2174.0,T,2.7700000000000005
Batman: Arkham City,X360,2011,Action,2.99,1.27,0.04,0.42,4.73,94,87,8.7,1477.0,T,1.7400000000000002
